City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
464,Sherlovaya Gora,RU,50.57,116.25,26.13,96,8,2.91,clear sky
465,Falun,SE,60.6,15.63,26.6,100,13,1.12,few clouds
466,Yaring,TH,6.87,101.37,77.74,83,100,3.49,moderate rain
467,Kalawit,PH,8.07,122.52,76.44,87,100,2.77,overcast clouds
468,Urubicha,BO,-15.38,-62.95,92.16,39,88,3.98,overcast clouds
469,Broken Hill,AU,-31.95,141.43,55.4,93,90,26.4,overcast clouds
470,Savannah Bight,HN,16.45,-85.85,83.66,76,85,8.95,overcast clouds
471,Torbat-E Jam,IR,35.24,60.62,45.1,56,0,7.02,clear sky
472,Belaya Gora,RU,68.53,146.42,5.76,87,21,2.75,few clouds
473,Fort Nelson,CA,58.81,-122.7,28.4,39,40,11.41,scattered clouds
474,Saint Anthony,US,45.02,-93.22,36.0,69,90,13.87,overcast clouds
475,Upata,VE,8.01,-62.4,80.01,82,31,5.99,moderate rain
476,Nizhneudinsk,RU,54.91,99.03,38.88,92,100,2.39,overcast clouds
477,Merrill,US,45.18,-89.68,37.4,74,90,11.41,overcast clouds
478,Kirovskiy,RU,45.09,133.51,31.95,91,100,17.49,overcast clouds
479,Gao,ML,16.64,1.64,87.44,13,0,11.88,clear sky
480,Port-Cartier,CA,50.03,-66.87,37.0,69,90,10.29,overcast clouds
481,Poykovskiy,RU,61.23,73.33,21.2,79,90,6.71,overcast clouds
482,Hami,CN,42.8,93.45,45.91,46,0,2.73,clear sky
483,Lagoa,PT,39.05,-27.98,66.7,81,25,24.85,scattered clouds
484,Kholtoson,RU,50.3,103.31,31.57,88,93,0.49,overcast clouds
485,Motala,SE,58.54,15.04,41.0,93,70,1.12,broken clouds
486,Broome,US,42.25,-75.83,70.0,64,20,10.29,few clouds
487,Bonavista,CA,48.65,-53.11,40.73,73,62,7.31,broken clouds
488,Barrhead,GB,55.8,-4.39,44.6,81,40,10.29,scattered clouds
489,Vestmannaeyjar,IS,63.44,-20.27,44.4,71,62,14.58,light rain
490,Xuddur,SO,4.12,43.89,74.3,85,100,14.99,overcast clouds
491,Kyra,RU,49.58,111.98,30.27,87,0,2.51,clear sky
492,Stornoway,GB,58.21,-6.39,48.2,81,67,17.22,broken clouds
493,Tricase,IT,39.93,18.36,51.8,100,5,3.13,clear sky
494,Melbu,NO,68.5,14.83,37.99,86,40,4.7,shower rain
495,Padang,ID,-0.95,100.35,79.21,76,100,3.56,overcast clouds
496,Honiara,SB,-9.43,159.95,82.4,78,20,3.36,few clouds
497,Santa Cruz,BO,-17.8,-63.17,95.0,41,20,14.99,few clouds
498,Gorontalo,ID,0.54,123.06,75.42,83,30,1.63,scattered clouds
499,Luau,AO,-10.71,22.22,68.79,78,86,2.26,overcast clouds
500,Kendari,ID,-3.94,122.5,77.34,87,7,1.3,light rain
501,Santa Maria,BR,-29.68,-53.81,70.88,84,100,5.86,overcast clouds
502,Omboue,GA,-1.57,9.26,76.82,89,100,7.65,overcast clouds
503,Krompachy,SK,48.91,20.88,51.8,93,75,5.82,broken clouds
504,Ondjiva,AO,-17.07,15.73,79.72,26,45,4.81,scattered clouds
505,Mahajanga,MG,-15.72,46.32,82.4,45,20,10.29,few clouds
506,Maniitsoq,GL,65.42,-52.9,28.76,85,48,6.38,scattered clouds
507,Niamey,NE,13.51,2.11,87.8,18,0,3.36,clear sky
508,Salinas,US,36.68,-121.66,70.0,56,1,7.67,clear sky
509,Gaomi,CN,36.38,119.75,46.99,86,0,4.47,clear sky
510,Yar-Sale,RU,66.83,70.83,20.75,95,92,9.48,overcast clouds
511,Samarai,PG,-10.62,150.67,81.63,81,88,5.32,light rain
512,Palaia Fokaia,GR,37.72,23.95,68.0,93,0,4.7,clear sky
513,Norwich,GB,52.63,1.3,50.0,93,59,8.05,broken clouds
514,Itarema,BR,-2.92,-39.92,79.56,79,35,15.46,scattered clouds
515,Raudeberg,NO,61.99,5.14,44.01,76,100,10.96,light rain
516,Kathu,TH,7.92,98.33,75.2,94,40,2.24,scattered clouds
517,Greensburg,US,40.3,-79.54,78.8,44,1,17.22,clear sky
518,Paamiut,GL,61.99,-49.67,32.5,88,50,24.74,scattered clouds
519,Kuusamo,FI,65.97,29.18,23.0,92,75,4.7,broken clouds
520,Siuna,NI,13.73,-84.78,80.46,90,100,1.92,overcast clouds
521,Ternate,ID,0.8,127.4,81.16,81,73,1.9,light rain
522,Ripon,GB,54.14,-1.52,42.8,93,35,8.05,scattered clouds
523,Nanlong,CN,31.35,106.06,64.02,71,98,3.69,overcast clouds
524,San Ramon,US,37.78,-121.98,75.99,27,1,9.17,clear sky
525,Kushiro,JP,42.98,144.37,48.72,76,0,13.02,clear sky
526,Muisne,EC,0.6,-80.03,75.54,84,99,11.92,overcast clouds
527,Gallup,US,35.53,-108.74,73.4,14,1,19.46,clear sky
528,Pokhara,NP,28.23,83.98,64.9,27,0,5.1,clear sky
529,Ilulissat,GL,69.22,-51.1,21.2,67,98,6.93,overcast clouds
530,Necochea,AR,-38.55,-58.74,57.99,84,31,5.01,scattered clouds
531,Talara,PE,-4.58,-81.27,65.55,82,85,15.68,overcast clouds
532,Las Vegas,US,36.17,-115.14,78.01,13,1,3.36,clear sky
533,Husavik,IS,66.04,-17.34,42.8,75,75,6.93,broken clouds
534,Lima,PE,-12.04,-77.03,64.99,72,75,10.29,broken clouds
535,Iisalmi,FI,63.56,27.19,33.8,86,90,8.05,overcast clouds
536,Bedesa,ET,8.9,40.78,63.95,41,43,3.98,scattered clouds
537,Cave Spring,US,37.23,-80.01,78.8,50,1,9.17,clear sky
538,Inirida,CO,3.87,-67.92,77.61,85,96,2.17,overcast clouds
539,Ormara,PK,25.21,64.64,79.45,29,0,26.8,clear sky
540,Fukue,JP,32.69,128.84,58.8,73,63,24.63,broken clouds
541,Yantal,RU,56.85,105.25,34.07,91,100,2.46,overcast clouds
542,Rocha,UY,-34.48,-54.33,62.74,95,75,5.82,broken clouds
543,Yelan,RU,50.95,43.74,56.75,71,100,10.2,light rain
544,Kaeo,NZ,-35.1,173.78,71.01,75,81,3.0,broken clouds
545,Penzance,GB,50.12,-5.54,53.6,76,79,19.46,broken clouds
546,San Cristobal,VE,7.77,-72.22,93.2,41,40,5.82,scattered clouds
