City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Noumea,NC,84.2,clear sky,-22.28,166.46,Hôtel Le Lagon
409,Coahuayana,MX,86.0,scattered clouds,18.73,-103.68,Hotel Los Arcos
413,Redlands,US,75.99,haze,34.06,-117.18,Dynasty Suites Redlands
415,Grand-Santi,GF,84.94,light rain,4.25,-54.38,Hotel La Villa Couacou
417,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
418,Nhulunbuy,AU,80.6,scattered clouds,-12.23,136.77,East Arnhem Real Estate
419,Majene,ID,78.19,few clouds,-3.54,118.97,Kost Putri RABBANI
420,Sabang,ID,82.87,light rain,5.89,95.32,Hotel Citra
421,Mana,GF,82.15,scattered clouds,5.66,-53.78,LE SAMANA
422,Trairi,BR,79.39,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
424,Belmonte,BR,71.6,light rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
425,Lock Haven,US,73.4,scattered clouds,41.14,-77.45,Fairfield Inn & Suites by Marriott Lock Haven
429,Pauini,BR,78.1,moderate rain,-7.71,-66.98,Casa do Kiwliks
430,Morgan City,US,82.4,mist,29.7,-91.21,Hampton Inn & Suites Morgan City
439,Ocampo,MX,74.73,scattered clouds,21.65,-101.5,Hotel Estancia del Vaquero
440,San Quintin,MX,70.09,broken clouds,30.48,-115.95,Old Mill Hotel
447,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
453,Osmena,PH,78.82,moderate rain,10.52,119.93,Arjemarkyza Lodge
455,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
457,Muli,MV,81.39,clear sky,2.92,73.57,Medhufushi Island Resort
462,Labuhan,ID,78.71,clear sky,-6.88,112.21,bador sepret
463,Kaduna,NG,73.06,overcast clouds,10.52,7.44,HAMDALA HOTEL
466,Yaring,TH,77.74,moderate rain,6.87,101.37,My Home Pokku
467,Kalawit,PH,76.44,overcast clouds,8.07,122.52,Ompoy Pension House
470,Savannah Bight,HN,83.66,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
475,Upata,VE,80.01,moderate rain,8.01,-62.4,Posada Villa Nela
486,Broome,US,70.0,few clouds,42.25,-75.83,Chenango Valley State Park
490,Xuddur,SO,74.3,overcast clouds,4.12,43.89,Banjanay Hotel
495,Padang,ID,79.21,overcast clouds,-0.95,100.35,Mercure Padang
496,Honiara,SB,82.4,few clouds,-9.43,159.95,Heritage Park Hotel
498,Gorontalo,ID,75.42,scattered clouds,0.54,123.06,Maqna Hotel by Prasanthi
500,Kendari,ID,77.34,light rain,-3.94,122.5,Hotel Wixel
501,Santa Maria,BR,70.88,overcast clouds,-29.68,-53.81,Hotel Morotin
502,Omboue,GA,76.82,overcast clouds,-1.57,9.26,Hotel Olako
504,Ondjiva,AO,79.72,scattered clouds,-17.07,15.73,SOS Motel
505,Mahajanga,MG,82.4,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
507,Niamey,NE,87.8,clear sky,13.51,2.11,Soluxe Hotel Niamey
508,Salinas,US,70.0,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
511,Samarai,PG,81.63,light rain,-10.62,150.67,Nuli Sapi
514,Itarema,BR,79.56,scattered clouds,-2.92,-39.92,Windvillage
516,Kathu,TH,75.2,scattered clouds,7.92,98.33,Novotel Phuket Resort
517,Greensburg,US,78.8,clear sky,40.3,-79.54,Courtyard by Marriott Pittsburgh Greensburg
520,Siuna,NI,80.46,overcast clouds,13.73,-84.78,Hotel Kaoba
521,Ternate,ID,81.16,light rain,0.8,127.4,Grand Dafam Bela Ternate
524,San Ramon,US,75.99,clear sky,37.78,-121.98,San Ramon Marriott
526,Muisne,EC,75.54,overcast clouds,0.6,-80.03,Quinta Samay
527,Gallup,US,73.4,clear sky,35.53,-108.74,El Capitan Motel
532,Las Vegas,US,78.01,clear sky,36.17,-115.14,Plaza Hotel & Casino
537,Cave Spring,US,78.8,clear sky,37.23,-80.01,Holiday Inn Roanoke-Tanglewood-Rt 419&I581
538,Inirida,CO,77.61,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
544,Kaeo,NZ,71.01,broken clouds,-35.1,173.78,Bushido Lodge
547,Key West,US,87.8,clear sky,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
553,Kattivakkam,IN,78.8,mist,13.22,80.32,St. Joseph Thirumana mandapam
558,Mahibadhoo,MV,81.03,light rain,3.78,72.97,Omadhoo Inn
568,Pathein,MM,74.41,broken clouds,16.78,94.73,Pathein Hotel
572,Tura,IN,70.02,moderate rain,25.52,90.22,Hotel RIKMAN Continental
575,Lebanon,US,80.6,broken clouds,36.21,-86.29,Hampton Inn & Suites Lebanon
576,Pires Do Rio,BR,71.33,moderate rain,-17.3,-48.28,Hotel Goiano - Pires do Rio
581,Bar Bigha,IN,74.43,clear sky,25.22,85.73,Palace of Ankush
583,Lahaina,US,89.6,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
585,Alto Araguaia,BR,75.36,moderate rain,-17.31,-53.22,Araguaia Palace Hotel
589,Isabela,PH,77.0,broken clouds,6.71,121.97,Isawad Resort
590,San Joaquin,US,77.0,clear sky,37.93,-121.3,University Plaza Waterfront Hotel
593,Amberley,US,77.0,light rain,39.2,-84.43,"Motel 6 Cincinnati, OH - Central - Norwood"
597,Manggar,ID,79.83,light rain,-2.88,108.27,Guest Hotel
598,Nicoya,CR,82.4,broken clouds,10.15,-85.45,Guayacan Real
599,Bontang,ID,77.54,light rain,0.13,117.5,Okra Leaf Guest House Syariah
600,Venado Tuerto,AR,72.0,overcast clouds,-33.75,-61.97,La Bianca.
605,San Alberto,CO,83.35,moderate rain,7.76,-73.39,Hotel San Alberto Plaza
606,Chisec,GT,85.1,broken clouds,15.82,-90.28,Hotel y Restaurante Casa Vieja
609,Alexandria,EG,71.6,scattered clouds,31.22,29.96,Royal Crown Hotel
613,Hobyo,SO,82.22,overcast clouds,5.35,48.53,Osmani Hotel
617,Kihei,US,89.6,scattered clouds,20.79,-156.47,Maui Sunset
621,Tomatlan,MX,87.46,scattered clouds,19.93,-105.25,Norma franco
623,Kabompo,ZM,72.3,scattered clouds,-13.59,24.2,Faroja City Iyindeko Cas-jay
624,Vangaindrano,MG,71.62,light rain,-23.35,47.6,Hotel Fanilo
625,Morant Bay,JM,79.0,shower rain,17.88,-76.41,Whispering Bamboo Cove Resort
626,Townsville,AU,78.8,broken clouds,-19.25,146.8,Rydges Southbank Townsville
